SubjectInfo.subjID,SubjectInfo.sessionNumber,Trials.trialType,Trials.verboseTrialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,Looks.duration_onLooks
sub-LIU_TLAO_s033,1,fam,fam-flip,8,0.7359829305408225,17.152,False,,12.229
sub-LIU_TLAO_s033,1,train,train,9,0.7722306758099005,36.281,False,,13.753
sub-LIU_TLAO_s033,1,fam,fam,10,0.8383837857529016,12.094,False,,11.817
sub-LIU_TLAO_s033,1,test,unexp-flip,11,0.7430622904607922,44.321,False,,37.757
sub-LIU_TLAO_s033,1,test,exp-flip,12,0.793671961642619,11.775,False,,5.446999999999999
sub-LIU_TLAO_s033,1,test,unexp-flip,13,0.6971709542428182,23.285,False,,12.442999999999998
sub-LIU_TLAO_s033,1,test,exp-flip,14,0.8192701541913255,55.209,False,,45.149
sub-LIU_TLAO_s033,1,calibration-long,calib-long,15,0.7924872695160821,20.15,False,,12.990999999999998
sub-LIU_TLAO_s034,1,calibration-short,calib-short,1,0.8105140505046402,22.705,False,,22.705
sub-LIU_TLAO_s034,1,audio-test,audio-test,2,0.8289200108761985,20.719,False,,20.719
sub-LIU_TLAO_s034,1,train,train,3,0.8206313558727283,60.0,False,,59.755
sub-LIU_TLAO_s034,1,fam,fam,4,0.7259253771080034,60.0,False,,59.609
sub-LIU_TLAO_s034,1,train,train-flip,5,0.7677770893769074,60.0,False,,60.0
sub-LIU_TLAO_s034,1,fam,fam-flip,6,0.7806223248035923,60.0,False,,56.27999999999999
sub-LIU_TLAO_s034,1,train,train,7,0.7404688256158461,34.667,False,,31.437
sub-LIU_TLAO_s034,1,fam,fam,8,0.7454033929513737,24.048,False,,16.567999999999994
sub-LIU_TLAO_s034,1,train,train-flip,9,0.821011879029316,60.0,False,,56.136
sub-LIU_TLAO_s034,1,fam,fam-flip,10,0.7939948020266389,34.614,False,,26.86800000000001
sub-LIU_TLAO_s034,1,test,exp,11,0.7793530875237904,28.534,False,,24.979
sub-LIU_TLAO_s034,1,test,unexp,12,0.6837076810389815,36.669,False,,29.117
sub-LIU_TLAO_s034,1,test,exp,13,0.7486443808585542,11.869,False,,1.548
sub-LIU_TLAO_s034,1,test,unexp,14,0.9549613429436764,11.743,False,,7.35
sub-LIU_TLAO_s034,1,calibration-long,calib-long,15,0.7527978166229492,20.685,False,,20.685
