trialNum,trialType,event,time
1,calibration-short,startAttnGetter,0.01844295801129192
1,calibration-short,endAttnGetter,3.926792124999338
1,calibration-short,startTrial,6.859071083003073
1,calibration-short,endTrial,25.891796541007352
2,audio-test,startAttnGetter,26.77991137500794
2,audio-test,endAttnGetter,29.85623800000758
2,audio-test,startTrial,30.22300866599835
2,audio-test,endTrial,50.630879290998564
3,train,startAttnGetter,52.1278392910026
3,train,endAttnGetter,55.273077916004695
3,train,startTrial,55.77451620801003
3,train,endTrial,115.78178929100977
4,fam,startAttnGetter,117.07553466600075
4,fam,endAttnGetter,120.36184279101144
4,fam,startTrial,121.39536000000953
4,fam,endTrial,145.59195129100408
5,train,startAttnGetter,146.19609079101065
5,train,endAttnGetter,149.2401496250095
5,train,startTrial,150.8236760830041
5,train,endTrial,210.8433899160009
6,fam,startAttnGetter,211.91831375000766
6,fam,endAttnGetter,214.97667116600496
6,fam,startTrial,216.32402258300863
6,fam,endTrial,233.39216775000386
7,train,startAttnGetter,234.96402350001154
7,train,endAttnGetter,238.02896579100343
7,train,startTrial,238.6572654160118
7,train,endTrial,258.7464609580056
8,fam,startAttnGetter,259.74234804100706
8,fam,endAttnGetter,262.81184691601084
8,fam,startTrial,263.34453604101145
8,fam,endTrial,279.963731833006
9,train,startAttnGetter,280.87885770799767
9,train,endAttnGetter,283.96736087500176
9,train,startTrial,285.77400354100973
9,train,endTrial,320.2486171250057
10,fam,startAttnGetter,321.22585100001015
10,fam,endAttnGetter,324.36871883300773
10,fam,startTrial,325.08041466600844
10,fam,endTrial,336.4625692910049
11,test,startAttnGetter,337.20752745799837
11,test,endAttnGetter,340.24602141600917
11,test,startTrial,341.4028694580047
11,test,endTrial,384.5679979999986
12,test,startAttnGetter,385.2945445410005
12,test,endAttnGetter,388.35768795800686
12,test,startTrial,389.0078098750091
12,test,endTrial,400.13279195800715
13,test,startAttnGetter,401.557855416002
13,test,endAttnGetter,404.69749395801045
13,test,startTrial,404.8469475410093
13,test,endTrial,427.98235829100304
14,test,startAttnGetter,428.4245919579989
14,test,endAttnGetter,431.5416511250078
14,test,startTrial,432.55795770800614
14,test,endTrial,486.750320541003
15,calibration-long,startAttnGetter,487.7462605000037
15,calibration-long,endAttnGetter,490.810931333006
15,calibration-long,startTrial,492.82495150000614
15,calibration-long,endTrial,510.9601339159999
