sNum,sID,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,habTrialNo,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB,trialDuration
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,1,1,audio-test,audio-test,0,,16.174184957984835,2,13.183068459038623,2,0,0,29.357255209004506,1,29.357253417023458
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,2,1,calibration-short,calib-short,0,,18.432166999962647,3,0.6049569158931263,3,0,0,19.03712633397663,1,19.037123915855773
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,3,1,train,train,0,,27.773607290990185,4,5.697972040972672,4,0,0,33.47159475000808,1,33.47157933196286
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,4,1,fam,fam,0,,44.63539912295528,6,5.508275833970401,6,0,0,50.14368320896756,1,50.14367495692568
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,5,1,train,train-flip,0,,51.950677207962144,2,3.7373709580278955,2,0,0,55.68805549998069,1,55.68804816599004
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,6,1,fam,fam-flip,0,,57.553922207909636,2,2.448958374967333,1,0,0,60.00288079195889,1,60.00288058287697
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,7,1,train,train,0,,55.84404070599703,7,4.158231164969038,6,0,0,60.00227325002197,1,60.00227187096607
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,8,1,fam,fam,0,,60.00240624998696,1,0,0,0,0,60.00240624998696,1,60.00240624998696
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,9,1,train,train-flip,0,,59.079729375022,2,0.9231515830033459,1,0,0,60.002881042019,1,60.002880958025344
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,10,1,fam,fam-flip,0,,31.157859959057532,3,6.259629707084969,3,0,0,37.41749783302657,1,37.4174896661425
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,11,1,test,exp,0,,33.4077116670087,2,3.6564418749767356,3,0,0,37.06415366596775,1,37.06415354198543
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,12,1,test,unexp,0,,9.070306167006493,3,4.644126334052999,3,0,0,13.714439625036903,1,13.714432501059491
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,13,1,test,exp,0,,7.709999332961161,1,3.007239666010719,1,0,0,10.717245874984656,1,10.71723899897188
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,14,1,test,unexp,0,,4.369380790973082,1,3.0109011250315234,1,0,0,7.380290666013025,1,7.380281916004606
,s044,-5,-19,M,"{'train': ['train', 'train-flip'], 'fam': ['fam', 'fam-flip'], 'test': ['exp', 'unexp'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long'], 'audio-test': ['audio-test']}",4,15,1,calibration-long,calib-long,0,,7.159228250035085,1,11.848023667000234,1,0,0,19.007253833988216,1,19.00725191703532
