trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.012353417012491263
1,audio-test,endAttnGetter,5.6851615000050515
1,audio-test,startTrial,6.97946362500079
1,audio-test,endTrial,28.83192120800959
2,calibration-short,startAttnGetter,35.27920891701069
2,calibration-short,endAttnGetter,38.38009345800674
2,calibration-short,startTrial,38.583089833002305
2,calibration-short,endTrial,57.59966545800853
3,train,startAttnGetter,62.89593095800956
3,train,endAttnGetter,66.12142458300514
3,train,startTrial,66.6064639170072
3,train,endTrial,126.62606950000918
4,fam,startAttnGetter,128.7030686250073
4,fam,endAttnGetter,131.86650354201265
4,fam,startTrial,133.91290595800092
4,fam,endTrial,193.93317833301262
5,train,startAttnGetter,195.17958183299925
5,train,endAttnGetter,198.26749737501086
5,train,startTrial,198.42124229201
5,train,endTrial,258.43873800001165
6,fam,startAttnGetter,263.29645408299984
6,fam,endAttnGetter,268.33979358299985
6,fam,startTrial,268.5390263330046
6,fam,endTrial,328.55247345801035
7,train,startAttnGetter,329.9694445000059
7,train,endAttnGetter,333.08000191701285
7,train,startTrial,336.8435601670062
7,train,endTrial,396.8667972920084
8,fam,startAttnGetter,398.09679345801123
8,fam,endAttnGetter,401.1642422920122
8,fam,startTrial,401.8332694580022
8,fam,endTrial,461.86634025000967
9,train,startAttnGetter,463.1470521670126
9,train,endAttnGetter,466.1869815829996
9,train,startTrial,466.78942037500383
9,train,endTrial,526.8070587920083
10,fam,startAttnGetter,528.047358708005
10,fam,endAttnGetter,531.0971240000072
10,fam,startTrial,531.7085478750087
10,fam,endTrial,574.6672465420124
11,test,startAttnGetter,575.2567654580052
11,test,endAttnGetter,578.2972640420048
11,test,startTrial,578.9193326250097
11,test,endTrial,618.8968660420069
12,test,startAttnGetter,619.8640482920018
12,test,endAttnGetter,622.9344566250074
12,test,startTrial,623.6508413330012
12,test,endTrial,640.5840678750101
13,test,startAttnGetter,642.6847395420045
13,test,endAttnGetter,645.7357928750134
13,test,startTrial,647.3869456250104
13,test,endTrial,661.0007483330119
14,test,startAttnGetter,662.2975939169992
14,test,endAttnGetter,665.4148794580105
14,test,startTrial,666.014411125012
14,test,endTrial,717.3032840420055
15,calibration-long,startAttnGetter,718.7978415000107
15,calibration-long,endAttnGetter,721.897687500008
15,calibration-long,startTrial,723.1279920000088
15,calibration-long,endTrial,742.1401099580107
