trialNum,trialType,event,time
1,calibration-short,startAttnGetter,0.03926575000514276
1,calibration-short,endAttnGetter,3.9960390420164913
1,calibration-short,startTrial,7.733997958013788
1,calibration-short,endTrial,26.762507875013398
2,audio-test,startAttnGetter,27.993568917008815
2,audio-test,endAttnGetter,31.293427208001958
2,audio-test,startTrial,31.508013292012038
2,audio-test,endTrial,48.407874541997444
3,train,startAttnGetter,49.438788958010264
3,train,endAttnGetter,52.660281167016365
3,train,startTrial,53.21015416699811
3,train,endTrial,113.21655066701351
4,fam,startAttnGetter,114.86065429201699
4,fam,endAttnGetter,118.06653837501653
4,fam,startTrial,120.70140004201676
4,fam,endTrial,180.73073037501308
5,train,startAttnGetter,181.6774840420112
5,train,endAttnGetter,184.79922508299933
5,train,startTrial,185.41690325000673
5,train,endTrial,245.43821870800457
6,fam,startAttnGetter,246.8948691250116
6,fam,endAttnGetter,250.04493016700144
6,fam,startTrial,250.91822504199808
6,fam,endTrial,310.9425874580047
7,train,startAttnGetter,312.0897573750117
7,train,endAttnGetter,315.12822900002357
7,train,startTrial,317.0361277080083
7,train,endTrial,377.0510254170222
8,fam,startAttnGetter,377.8490202500252
8,fam,endAttnGetter,380.8952420420246
8,fam,startTrial,381.56196416702005
8,fam,endTrial,441.584391625016
9,train,startAttnGetter,442.2956665420206
9,train,endAttnGetter,445.33357554199756
9,train,startTrial,446.3878394580097
9,train,endTrial,506.4145732920151
10,fam,startAttnGetter,507.43955145802465
10,fam,endAttnGetter,510.5040844580217
10,fam,startTrial,510.9500298750063
10,fam,endTrial,570.9742618330056
11,test,startAttnGetter,571.8331546249974
11,test,endAttnGetter,574.8795862080005
11,test,startTrial,575.328078999999
11,test,endTrial,635.3424476670043
12,test,startAttnGetter,636.1878193750163
12,test,endAttnGetter,639.2302315420238
12,test,startTrial,639.6633830830106
12,test,endTrial,699.6820564579975
13,test,startAttnGetter,700.3803259580163
13,test,endAttnGetter,703.4303622500156
13,test,startTrial,703.895328625018
13,test,endTrial,763.9139694580226
14,test,startAttnGetter,765.2051381670171
14,test,endAttnGetter,768.3000107920088
14,test,startTrial,768.7687962080236
14,test,endTrial,823.6371510419995
15,calibration-long,startAttnGetter,824.2143131670018
15,calibration-long,endAttnGetter,827.2868736250093
15,calibration-long,startTrial,828.097685375018
15,calibration-long,endTrial,847.1111580830184
