trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.048754399991594255
1,audio-test,endAttnGetter,3.1844362000119872
1,audio-test,startTrial,3.4329089000239037
1,audio-test,endTrial,23.14629020000575
2,calibration-short,startAttnGetter,31.94099080003798
2,calibration-short,endAttnGetter,35.0226991000236
2,calibration-short,startTrial,37.155410400009714
2,calibration-short,endTrial,56.20513539999956
3,train,startAttnGetter,58.1149441000307
3,train,endAttnGetter,61.23107840004377
3,train,startTrial,61.39726320002228
3,train,endTrial,121.43581300001824
4,fam,startAttnGetter,123.06078629998956
4,fam,endAttnGetter,126.1766348000383
4,fam,startTrial,126.34625290002441
4,fam,endTrial,186.382633500034
5,train,startAttnGetter,188.240037999989
5,train,endAttnGetter,191.32340200000908
5,train,startTrial,191.49052089999896
5,train,endTrial,251.51236210000934
6,fam,startAttnGetter,252.7872356000007
6,fam,endAttnGetter,255.87044740002602
6,fam,startTrial,256.03658070001984
6,fam,endTrial,294.81661750003695
7,train,startAttnGetter,296.0413162999903
7,train,endAttnGetter,299.1560754000093
7,train,startTrial,299.3232278000214
7,train,endTrial,347.3330234999885
8,fam,startAttnGetter,348.10811460000696
8,fam,endAttnGetter,351.1916629000334
8,fam,startTrial,351.3570072000148
8,fam,endTrial,385.3710642000078
9,train,startAttnGetter,386.64703990001
9,train,endAttnGetter,389.7322715999908
9,train,startTrial,389.89551770000253
9,train,endTrial,449.9367137000081
10,fam,startAttnGetter,451.50900150003145
10,fam,endAttnGetter,454.58029740001075
10,fam,startTrial,454.7421616000356
10,fam,endTrial,493.10459880001144
11,test,startAttnGetter,493.76687450002646
11,test,endAttnGetter,496.8473507000017
11,test,startTrial,497.013429499988
11,test,endTrial,551.8354983000318
12,test,startAttnGetter,552.5316961000208
12,test,endAttnGetter,555.644683999999
12,test,startTrial,555.8106494999956
12,test,endTrial,584.3105173000367
13,test,startAttnGetter,585.4521638000151
13,test,endAttnGetter,588.536619200022
13,test,startTrial,588.6998865000205
13,test,endTrial,632.8108500000089
14,test,startAttnGetter,633.5035230999929
14,test,endAttnGetter,636.5849103000364
14,test,startTrial,636.7518351000035
14,test,endTrial,655.770959299989
15,calibration-long,startAttnGetter,656.7785064000054
15,calibration-long,endAttnGetter,659.8786812000326
15,calibration-long,startTrial,660.0449224000331
15,calibration-long,endTrial,679.078075300029
