trialNum,trialType,event,time
1,calibration-short,startAttnGetter,0.01168733299982705
1,calibration-short,endAttnGetter,3.295284625000022
1,calibration-short,startTrial,4.411771082999621
1,calibration-short,endTrial,5.363696374999563
2,audio-test,startAttnGetter,6.42836137499944
2,audio-test,endAttnGetter,9.511717749999661
2,audio-test,startTrial,11.484466957999757
2,audio-test,endTrial,28.93599954199999
3,train,startAttnGetter,30.145322291999946
3,train,endAttnGetter,33.20036529199933
3,train,startTrial,33.602972957999555
3,train,endTrial,59.81908166699941
4,fam,startAttnGetter,61.01887341699967
4,fam,endAttnGetter,64.14528854199943
4,fam,startTrial,64.71944087499924
4,fam,endTrial,91.80359804199998
5,train,startAttnGetter,92.9955937499999
5,train,endAttnGetter,96.04555624999921
5,train,startTrial,96.61849499999971
5,train,endTrial,106.38063433299976
6,fam,startAttnGetter,107.53603170799943
6,fam,endAttnGetter,110.61229133299912
6,fam,startTrial,111.13454895799987
6,fam,endTrial,151.231337833
7,train,startAttnGetter,152.07920987499983
7,train,endAttnGetter,155.1151047079993
7,train,startTrial,155.57920595799987
7,train,endTrial,215.5866039579996
8,fam,startAttnGetter,217.84625695799969
8,fam,endAttnGetter,221.3462185419994
8,fam,startTrial,221.52438429199992
8,fam,endTrial,281.53717487499944
9,train,startAttnGetter,282.946600708
9,train,endAttnGetter,286.0298386249997
9,train,startTrial,286.74662587499915
9,train,endTrial,309.05563054199956
10,fam,startAttnGetter,312.35379637499955
10,fam,endAttnGetter,315.43010570799925
10,fam,startTrial,315.59272191699984
10,fam,endTrial,327.2869140419998
11,test,startAttnGetter,328.18665599999986
11,test,endAttnGetter,331.2468264169993
11,test,startTrial,332.50215816699983
11,test,endTrial,392.5155843329994
12,test,startAttnGetter,396.43052499999976
12,test,endAttnGetter,399.5805615829995
12,test,startTrial,400.00167624999995
12,test,endTrial,409.8656082079997
13,test,startAttnGetter,411.23065512499943
13,test,endAttnGetter,414.33057799999915
13,test,startTrial,415.1972613329999
13,test,endTrial,424.2992366669996
14,test,startAttnGetter,425.0142434579993
14,test,endAttnGetter,428.0639733329999
14,test,startTrial,429.730652833
14,test,endTrial,435.9325434169996
15,calibration-long,startAttnGetter,437.2876682919996
15,calibration-long,endAttnGetter,440.33641270799944
15,calibration-long,startTrial,442.197409417
15,calibration-long,endTrial,459.79915637499926
