trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.010937958002614323
1,audio-test,endAttnGetter,3.63727766699958
1,audio-test,startTrial,5.587379250002414
1,audio-test,endTrial,46.1101355000028
2,calibration-short,startAttnGetter,46.95610624999972
2,calibration-short,endAttnGetter,50.04072300000189
2,calibration-short,startTrial,50.47906137500104
2,calibration-short,endTrial,69.4932207080019
3,train,startAttnGetter,72.08772275000229
3,train,endAttnGetter,75.20656870800303
3,train,startTrial,75.35375375000149
3,train,endTrial,135.36425854200206
4,fam,startAttnGetter,136.98808595800074
4,fam,endAttnGetter,140.57141945799958
4,fam,startTrial,141.55643120800232
4,fam,endTrial,169.01104579200182
5,train,startAttnGetter,170.97159375000047
5,train,endAttnGetter,174.12750804200186
5,train,startTrial,174.60213937500157
5,train,endTrial,210.9738279580015
6,fam,startAttnGetter,212.03839195800174
6,fam,endAttnGetter,215.14267166700301
6,fam,startTrial,215.3339172920023
6,fam,endTrial,275.3453247920006
7,train,startAttnGetter,276.2282218750006
7,train,endAttnGetter,279.32204979200105
7,train,startTrial,279.7680551250014
7,train,endTrial,339.7828187920022
8,fam,startAttnGetter,340.40572916699966
8,fam,endAttnGetter,343.4557896670012
8,fam,startTrial,343.9389789580018
8,fam,endTrial,398.491536583002
9,train,startAttnGetter,398.9624975420011
9,train,endAttnGetter,402.00603975000195
9,train,startTrial,402.13034229200275
9,train,endTrial,462.15074304200243
10,fam,startAttnGetter,463.07305904200257
10,fam,endAttnGetter,466.17309387500063
10,fam,startTrial,466.65471854200223
10,fam,endTrial,509.37566858300124
11,test,startAttnGetter,509.8466401250007
11,test,endAttnGetter,512.9106550830002
11,test,startTrial,513.3766807920001
11,test,endTrial,524.7513443750031
12,test,startAttnGetter,525.2567750830021
12,test,endAttnGetter,528.3067383330017
12,test,startTrial,528.4552222500024
12,test,endTrial,544.7993612080027
13,test,startAttnGetter,545.5734689580022
13,test,endAttnGetter,548.6901642500015
13,test,startTrial,549.1239786250007
13,test,endTrial,569.5303866670001
14,test,startAttnGetter,569.9403591670016
14,test,endAttnGetter,573.007383250002
14,test,startTrial,573.3991711250019
14,test,endTrial,582.2258153330004
15,calibration-long,startAttnGetter,582.7795375830028
15,calibration-long,endAttnGetter,585.8403095829999
15,calibration-long,startTrial,586.4698518330006
15,calibration-long,endTrial,605.4865009170026
