trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.019220709000364877
1,audio-test,endAttnGetter,4.268838333999156
1,audio-test,startTrial,14.008315792001667
1,audio-test,endTrial,40.570999625000695
2,calibration-short,startAttnGetter,41.632017999996606
2,calibration-short,endAttnGetter,44.68202400000155
2,calibration-short,startTrial,45.07194608399732
2,calibration-short,endTrial,64.08957224999904
3,train,startAttnGetter,64.91544270899612
3,train,endAttnGetter,68.00193516699801
3,train,startTrial,68.83432116699987
3,train,endTrial,128.85083379199932
4,fam,startAttnGetter,131.3182552090002
4,fam,endAttnGetter,134.6019337089965
4,fam,startTrial,135.65635208399908
4,fam,endTrial,177.4382521669977
5,train,startAttnGetter,178.3992806249953
5,train,endAttnGetter,181.44925679199514
5,train,startTrial,182.03160933400068
5,train,endTrial,242.03825608400075
6,fam,startAttnGetter,243.09954324999853
6,fam,endAttnGetter,246.14956866699504
6,fam,startTrial,246.63302345899865
6,fam,endTrial,273.60139929199795
7,train,startAttnGetter,274.55169408399524
7,train,endAttnGetter,277.61918320899713
7,train,startTrial,278.1165857090018
7,train,endTrial,300.66814791700017
8,fam,startAttnGetter,301.1664893749985
8,fam,endAttnGetter,304.19977837499755
8,fam,startTrial,304.4998700419965
8,fam,endTrial,327.6222728749999
9,train,startAttnGetter,328.39995533399633
9,train,endAttnGetter,331.45307504200173
9,train,startTrial,332.0333748749981
9,train,endTrial,353.0921935840015
10,fam,startAttnGetter,353.50214262499503
10,fam,endAttnGetter,356.53618466699845
10,fam,startTrial,357.1689281250001
10,fam,endTrial,385.301884667002
11,test,startAttnGetter,386.10022000000026
11,test,endAttnGetter,389.1530974589987
11,test,startTrial,389.3552299169969
11,test,endTrial,424.82264191699505
12,test,startAttnGetter,426.7097838749978
12,test,endAttnGetter,429.85038095899654
12,test,startTrial,430.3670564169952
12,test,endTrial,440.3691214999999
12,test,startAttnGetter,442.90047441700153
12,test,endAttnGetter,445.98384970899497
12,test,startAttnGetter,447.10463275000075
12,test,endAttnGetter,450.15044849999686
12,test,startTrial,450.31546541699936
12,test,endTrial,479.53597925000213
13,test,startAttnGetter,479.900630791999
13,test,endAttnGetter,482.95084099999804
13,test,startTrial,483.44767649999994
13,test,endTrial,507.7691027920009
14,test,startAttnGetter,508.4105676249965
14,test,endAttnGetter,511.4509298339981
14,test,startTrial,511.98424366700056
14,test,endTrial,531.4063190000015
15,calibration-long,startAttnGetter,532.1008063339978
15,calibration-long,endAttnGetter,535.1379709999965
15,calibration-long,startTrial,535.9010382499982
15,calibration-long,endTrial,554.9190474999996
