trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.017682000005152076
1,audio-test,endAttnGetter,3.4563172920024954
1,audio-test,startTrial,4.2463911669910885
1,audio-test,endTrial,40.510324125003535
2,calibration-short,startAttnGetter,41.50631758401869
2,calibration-short,endAttnGetter,44.586377375002485
2,calibration-short,startTrial,44.90304316696711
2,calibration-short,endTrial,63.91054370900383
3,train,startAttnGetter,65.65328758402029
3,train,endAttnGetter,69.17294395901263
3,train,startTrial,70.31994629197288
3,train,endTrial,130.32671658397885
4,fam,startAttnGetter,131.89015091699548
4,fam,endAttnGetter,135.1392184169963
4,fam,startTrial,135.9368690419942
4,fam,endTrial,195.94251937500667
5,train,startAttnGetter,198.32032341702143
5,train,endAttnGetter,201.43944529199507
5,train,startTrial,202.0537597090006
5,train,endTrial,262.0606027090107
6,fam,startAttnGetter,263.54822191700805
6,fam,endAttnGetter,266.6537794590113
6,fam,startTrial,266.84391387499636
6,fam,endTrial,326.68927812500624
7,train,startAttnGetter,327.66201395902317
7,train,endAttnGetter,330.73738004197367
7,train,startTrial,331.54632062499877
7,train,endTrial,391.5615149589721
8,fam,startAttnGetter,392.79159516701475
8,fam,endAttnGetter,395.8375592089724
8,fam,startTrial,396.7211679170141
8,fam,endTrial,449.648987499997
9,train,startAttnGetter,451.3979692920111
9,train,endAttnGetter,454.4419237090042
9,train,startTrial,455.0879407089669
9,train,endTrial,492.27800437499536
10,fam,startAttnGetter,493.521486209007
10,fam,endAttnGetter,496.57129783398705
10,fam,startTrial,497.0967479170067
10,fam,endTrial,510.5733857919695
11,test,startAttnGetter,510.9458421670133
11,test,endAttnGetter,513.9880224170047
11,test,startTrial,514.2639456670149
11,test,endTrial,574.2819444169872
12,test,startAttnGetter,575.2715965840034
12,test,endAttnGetter,578.3249363750219
12,test,startTrial,578.5942770839902
12,test,endTrial,638.6117068339954
13,test,startAttnGetter,639.7718130840221
13,test,endAttnGetter,642.871801041998
13,test,startTrial,643.4117768749711
13,test,endTrial,667.5267828750075
14,test,startAttnGetter,668.1557867089869
14,test,endAttnGetter,671.2421872499981
14,test,startTrial,671.3871683750185
14,test,endTrial,689.2740543339751
15,calibration-long,startAttnGetter,690.458460666996
15,calibration-long,endAttnGetter,693.5719502500142
15,calibration-long,startTrial,696.8240508749732
15,calibration-long,endTrial,715.8354872919735
