trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.013460749993100762
1,audio-test,endAttnGetter,3.9686910409945995
1,audio-test,startTrial,6.000041499995859
1,audio-test,endTrial,11.573960165987955
2,calibration-short,startAttnGetter,28.03346454098937
2,calibration-short,endAttnGetter,31.21686062499066
2,calibration-short,startTrial,31.455197125003906
2,calibration-short,endTrial,50.46867299999576
3,train,startAttnGetter,52.28359662499861
3,train,endAttnGetter,55.35350324999308
3,train,startTrial,55.58990779099986
3,train,endTrial,73.25698095798725
4,fam,startAttnGetter,74.667087290989
4,fam,endAttnGetter,77.85249020799529
4,fam,startTrial,79.42013824998867
4,fam,endTrial,113.33556495798985
5,train,startAttnGetter,114.21722112499992
5,train,endAttnGetter,117.27970137499506
5,train,startTrial,118.75083075001021
5,train,endTrial,160.09261662501376
6,fam,startAttnGetter,160.66772295799456
6,fam,endAttnGetter,163.70689375000075
6,fam,startTrial,164.0555115409952
6,fam,endTrial,190.83623554100632
7,train,startAttnGetter,191.5509473750135
7,train,endAttnGetter,194.58714124999824
7,train,startTrial,195.41765762498835
7,train,endTrial,211.32008916599443
8,fam,startAttnGetter,212.1344183330075
8,fam,endAttnGetter,215.17053704100545
8,fam,startTrial,215.3068977909861
8,fam,endTrial,235.95397795800818
9,train,startAttnGetter,237.27436924999347
9,train,endAttnGetter,240.38896170799853
9,train,startTrial,240.62198724999325
9,train,endTrial,250.63631654100027
10,fam,startAttnGetter,251.6276997080131
10,fam,endAttnGetter,254.66792495799018
10,fam,startTrial,255.01790962499217
10,fam,endTrial,265.6033337909903
11,test,startAttnGetter,266.18896037500235
11,test,endAttnGetter,269.21795200000633
11,test,startTrial,269.4346429159923
11,test,endTrial,279.4409286660084
11,test,startAttnGetter,281.87329537500045
11,test,endAttnGetter,284.93755100001
11,test,startTrial,285.177581750002
11,test,endTrial,301.94213266600855
12,test,startAttnGetter,302.52609862500685
12,test,endAttnGetter,305.58746633300325
12,test,startTrial,306.6789462080051
12,test,endTrial,328.9032741250121
13,test,startAttnGetter,330.2403495410108
13,test,endAttnGetter,333.31820133299334
13,test,startTrial,333.93506037499174
13,test,endTrial,342.5700147910102
14,test,startAttnGetter,344.18854083301267
14,test,endAttnGetter,347.2683725829993
14,test,startTrial,351.11837095799274
14,test,endTrial,362.47008316600113
15,calibration-long,startAttnGetter,363.43548629101133
15,calibration-long,endAttnGetter,366.4877412499918
15,calibration-long,startTrial,371.9446167080023
15,calibration-long,endTrial,390.95813641601126
