trialNum,trialType,event,time
1,calibration-short,startAttnGetter,0.008956916979514062
1,calibration-short,endAttnGetter,4.153318207972916
1,calibration-short,startTrial,5.155322749982588
1,calibration-short,endTrial,24.168714291998185
2,audio-test,startAttnGetter,25.420547416986665
2,audio-test,endAttnGetter,28.616979499987792
2,audio-test,startTrial,29.61695695799426
2,audio-test,endTrial,46.3262403330009
3,train,startAttnGetter,47.533683124987874
3,train,endAttnGetter,50.70055387497996
3,train,startTrial,51.18364095798461
3,train,endTrial,111.18943387499894
4,fam,startAttnGetter,112.4758676669735
4,fam,endAttnGetter,115.6506392499723
4,fam,startTrial,116.40103283297503
4,fam,endTrial,158.6030508329859
5,train,startAttnGetter,159.5794113749871
5,train,endAttnGetter,162.65536795798107
5,train,startTrial,164.90776620799443
5,train,endTrial,224.9256023329799
6,fam,startAttnGetter,225.92223133298103
6,fam,endAttnGetter,229.0513021669758
6,fam,startTrial,229.49630908298423
6,fam,endTrial,271.0539694170002
7,train,startAttnGetter,271.91826004197355
7,train,endAttnGetter,274.9548769579851
7,train,startTrial,276.6145257919852
7,train,endTrial,336.6240457499807
8,fam,startAttnGetter,337.8452970419894
8,fam,endAttnGetter,340.88514524998027
8,fam,startTrial,342.06881199998315
8,fam,endTrial,379.35872045799624
9,train,startAttnGetter,379.83106304198736
9,train,endAttnGetter,382.87269058299717
9,train,startTrial,383.3022821249906
9,train,endTrial,443.30805454199435
10,fam,startAttnGetter,444.36908008297905
10,fam,endAttnGetter,447.44088808298693
10,fam,startTrial,447.90259779198095
10,fam,endTrial,490.37142520799534
11,test,startAttnGetter,490.9249122919864
11,test,endAttnGetter,493.955417707999
11,test,startTrial,494.4934482079989
11,test,endTrial,504.2253736249986
12,test,startAttnGetter,505.03606620797655
12,test,endAttnGetter,508.0748274169746
12,test,startTrial,509.34183187497547
12,test,endTrial,525.5380002499733
13,test,startAttnGetter,526.086242874997
13,test,endAttnGetter,529.1417644999747
13,test,startTrial,529.6940492079884
13,test,endTrial,540.425826791994
14,test,startAttnGetter,540.9196849169966
14,test,endAttnGetter,544.0365126669931
14,test,startTrial,545.1030021669867
14,test,endTrial,555.1226250829932
15,calibration-long,startAttnGetter,555.9757028329768
15,calibration-long,endAttnGetter,559.0365384579927
15,calibration-long,startTrial,560.4626859169803
15,calibration-long,endTrial,579.47546245798
