trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.018380041990894824
1,audio-test,endAttnGetter,3.3766535419854335
1,audio-test,startTrial,27.043706249969546
1,audio-test,endTrial,87.05141391698271
2,calibration-short,startAttnGetter,88.79767854197416
2,calibration-short,endAttnGetter,91.96731608296977
2,calibration-short,startTrial,93.01681158301653
2,calibration-short,endTrial,112.02883395797107
3,train,startAttnGetter,115.97228924999945
3,train,endAttnGetter,119.08049404202029
3,train,startTrial,119.23210308299167
3,train,endTrial,163.465650291997
4,fam,startAttnGetter,166.39407191699138
4,fam,endAttnGetter,170.0990860419697
4,fam,startTrial,171.55064566701185
4,fam,endTrial,231.56273354199948
5,train,startAttnGetter,333.04869670799235
5,train,endAttnGetter,336.21104570798343
5,train,startTrial,336.9615565830027
5,train,endTrial,396.9680029170122
6,fam,startAttnGetter,399.883444749983
6,fam,endAttnGetter,403.02830562501913
6,fam,startTrial,403.3135815419955
6,fam,endTrial,463.33018300001277
7,train,startAttnGetter,464.00625316699734
7,train,endAttnGetter,467.0475531250122
7,train,startTrial,467.3337870829855
7,train,endTrial,527.3471695000189
8,fam,startAttnGetter,528.3785052080057
8,fam,endAttnGetter,531.4526970830048
8,fam,startTrial,533.0888665830134
8,fam,endTrial,593.1169578330009
9,train,startAttnGetter,593.7637682079803
9,train,endAttnGetter,596.853300583025
9,train,startTrial,597.0057846250129
9,train,endTrial,657.0184080000035
10,fam,startAttnGetter,658.901650291984
10,fam,endAttnGetter,662.2623287499882
10,fam,startTrial,662.5588933330146
10,fam,endTrial,683.4772990000201
11,test,startAttnGetter,683.895748333016
11,test,endAttnGetter,686.9292499999865
11,test,startTrial,687.0898618749925
11,test,endTrial,747.1019820420188
12,test,startAttnGetter,751.413342875021
12,test,endAttnGetter,754.546710458002
12,test,startTrial,754.7051621249993
12,test,endTrial,786.5027157500153
13,test,startAttnGetter,787.1992993750027
13,test,endAttnGetter,790.2627914579934
13,test,startTrial,790.5351587919868
13,test,endTrial,805.8044080419932
14,test,startAttnGetter,806.5964223750052
14,test,endAttnGetter,809.6770141249872
14,test,startTrial,810.0129637499922
14,test,endTrial,825.6480498749879
15,calibration-long,startAttnGetter,826.313156542019
15,calibration-long,endAttnGetter,829.3629562919959
15,calibration-long,startTrial,829.8297278750106
15,calibration-long,endTrial,848.8434927500202
