trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.0245469170040451
1,audio-test,endAttnGetter,3.446569250023458
1,audio-test,startTrial,5.105451375013217
1,audio-test,endTrial,35.84837962500751
2,calibration-short,startAttnGetter,36.87994058302138
2,calibration-short,endAttnGetter,40.029998250014614
2,calibration-short,startTrial,41.046601541980635
2,calibration-short,endTrial,60.06626991700614
3,train,startAttnGetter,60.87529745802749
3,train,endAttnGetter,63.96508112497395
3,train,startTrial,65.38024429202778
3,train,endTrial,125.38725970801897
4,fam,startAttnGetter,126.54688329197234
4,fam,endAttnGetter,129.71757179201813
4,fam,startTrial,130.71681454201462
4,fam,endTrial,190.7365085830097
5,train,startAttnGetter,191.46404366701609
5,train,endAttnGetter,194.56632579199504
5,train,startTrial,195.06393187498907
5,train,endTrial,255.08256458299002
6,fam,startAttnGetter,255.92231554200407
6,fam,endAttnGetter,259.0139480829821
6,fam,startTrial,259.564125416975
6,fam,endTrial,319.5719367500278
7,train,startAttnGetter,320.6475236249971
7,train,endAttnGetter,323.7312169999932
7,train,startTrial,324.1643773330143
7,train,endTrial,384.17062279197853
8,fam,startAttnGetter,384.92666937498143
8,fam,endAttnGetter,387.9674544580048
8,fam,startTrial,388.8645961250295
8,fam,endTrial,448.88298699998995
9,train,startAttnGetter,449.5733547079726
9,train,endAttnGetter,452.61759295797674
9,train,startTrial,454.6720014170278
9,train,endTrial,514.7001877499861
10,fam,startAttnGetter,515.7566432079766
10,fam,endAttnGetter,518.8347248749924
10,fam,startTrial,519.0349640829954
10,fam,endTrial,579.0503760420252
11,test,startAttnGetter,580.4983870420256
11,test,endAttnGetter,583.5817552499939
11,test,startTrial,584.0275683749933
11,test,endTrial,614.5555906249792
12,test,startAttnGetter,615.2486129999743
12,test,endAttnGetter,618.319396167004
12,test,startTrial,618.9850678750081
12,test,endTrial,659.4529849999817
13,test,startAttnGetter,660.4183108750149
13,test,endAttnGetter,663.5319806669722
13,test,startTrial,664.2820225830073
13,test,endTrial,673.5701623330242
14,test,startAttnGetter,674.0654074579943
14,test,endAttnGetter,677.1487106669811
14,test,startTrial,677.2990208329866
14,test,endTrial,687.784099749988
15,calibration-long,startAttnGetter,688.5654440830112
15,calibration-long,endAttnGetter,691.6155005830224
15,calibration-long,startTrial,693.5551630419795
15,calibration-long,endTrial,712.5732105000061
