trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.015630707996024285
1,audio-test,endAttnGetter,3.403480250002758
1,audio-test,startTrial,8.811869666998973
1,audio-test,endTrial,43.1219020829958
2,calibration-short,startAttnGetter,45.37814366699604
2,calibration-short,endAttnGetter,48.5041097919966
2,calibration-short,startTrial,50.18735333299992
2,calibration-short,endTrial,69.19237141699705
3,train,startAttnGetter,70.4704933749963
3,train,endAttnGetter,73.63720420799655
3,train,startTrial,73.97956949999934
3,train,endTrial,134.00572249999823
4,fam,startAttnGetter,136.6910718750005
4,fam,endAttnGetter,140.9208223329988
4,fam,startTrial,141.63292150000052
4,fam,endTrial,201.64320333299838
5,train,startAttnGetter,202.8711205419968
5,train,endAttnGetter,206.22397099999944
5,train,startTrial,206.4377906669979
5,train,endTrial,266.4435263749983
6,fam,startAttnGetter,267.8385225419988
6,fam,endAttnGetter,270.95475095800066
6,fam,startTrial,271.823839208002
6,fam,endTrial,308.15640791699843
7,train,startAttnGetter,309.27159641699836
7,train,endAttnGetter,312.3760274169981
7,train,startTrial,313.26197591699747
7,train,endTrial,373.2901406669989
8,fam,startAttnGetter,374.61446754200006
8,fam,endAttnGetter,377.80528558299557
8,fam,startTrial,378.28080812499684
8,fam,endTrial,405.95696883300116
9,train,startAttnGetter,406.9220703329993
9,train,endAttnGetter,409.9720746250023
9,train,startTrial,410.39534000000276
9,train,endTrial,418.64802770799724
10,fam,startAttnGetter,419.77247633299703
10,fam,endAttnGetter,422.84155479200126
10,fam,startTrial,423.3722587919983
10,fam,endTrial,446.323772249998
11,test,startAttnGetter,447.36355791700043
11,test,endAttnGetter,450.4090176669997
11,test,startTrial,450.5428192920008
11,test,endTrial,461.55709862500225
12,test,startAttnGetter,462.8223618330012
12,test,endAttnGetter,465.8889709579962
12,test,startTrial,466.0225583329957
12,test,endTrial,498.0411879579988
13,test,startAttnGetter,499.3422396669994
13,test,endAttnGetter,502.449094292002
13,test,startTrial,502.83705120800005
13,test,endTrial,562.8576963329979
14,test,startAttnGetter,563.6061302919989
14,test,endAttnGetter,566.9900765830025
14,test,startTrial,567.5394769999984
14,test,endTrial,612.1624594999957
15,calibration-long,startAttnGetter,613.2808091670013
15,calibration-long,endAttnGetter,616.3397225000008
15,calibration-long,startTrial,616.9428789579979
15,calibration-long,endTrial,635.9586148750022
