trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.010512375010875985
1,audio-test,endAttnGetter,3.436658582999371
1,audio-test,startTrial,4.950901458010776
1,audio-test,endTrial,25.65288562499336
2,calibration-short,startAttnGetter,41.22490933301742
2,calibration-short,endAttnGetter,44.434409208013676
2,calibration-short,startTrial,44.90134541701991
2,calibration-short,endTrial,63.906627749995096
3,train,startAttnGetter,65.55435808299808
3,train,endAttnGetter,68.78776624999591
3,train,startTrial,69.18808516699937
3,train,endTrial,129.20343683302053
4,fam,startAttnGetter,131.80158312499407
4,fam,endAttnGetter,136.02074974999414
4,fam,startTrial,137.06021133300965
4,fam,endTrial,197.07405604200903
5,train,startAttnGetter,198.35179958300432
5,train,endAttnGetter,201.71850991700194
5,train,startTrial,201.93152145799831
5,train,endTrial,261.9446984580136
6,fam,startAttnGetter,263.4188954170095
6,fam,endAttnGetter,266.53542195801856
6,fam,startTrial,267.0068477500172
6,fam,endTrial,313.0587352500006
7,train,startAttnGetter,314.23880083300173
7,train,endAttnGetter,317.29139229201246
7,train,startTrial,318.27258916699793
7,train,endTrial,378.2932578329928
8,fam,startAttnGetter,379.6530937500065
8,fam,endAttnGetter,382.68976020801347
8,fam,startTrial,383.15034479199676
8,fam,endTrial,408.2425325830118
9,train,startAttnGetter,408.96946304201265
9,train,endAttnGetter,412.0063166670152
9,train,startTrial,412.4735362920037
9,train,endTrial,472.4882942920085
10,fam,startAttnGetter,473.73975808301475
10,fam,endAttnGetter,476.7920276670193
10,fam,startTrial,477.37312150001526
10,fam,endTrial,496.2588536250114
11,test,startAttnGetter,497.4198937500187
11,test,endAttnGetter,500.4559010830126
11,test,startTrial,500.8898786670179
11,test,endTrial,532.1765098329925
12,test,startAttnGetter,533.6603853330016
12,test,endAttnGetter,536.753348541999
12,test,startTrial,537.42608200002
12,test,endTrial,554.4092724579968
13,test,startAttnGetter,555.1108612919925
13,test,endAttnGetter,558.1564412919979
13,test,startTrial,558.6369094169931
13,test,endTrial,580.8964052080119
14,test,startAttnGetter,581.505798416998
14,test,endAttnGetter,584.5950848750072
14,test,startTrial,584.8764925000141
14,test,endTrial,600.7055576250132
15,calibration-long,startAttnGetter,601.6586303329968
15,calibration-long,endAttnGetter,604.7231655000069
15,calibration-long,startTrial,605.4038601670181
15,calibration-long,endTrial,624.4230137499981
