trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.026594625000143424
1,audio-test,endAttnGetter,5.18542041699402
1,audio-test,startTrial,8.026544707994617
1,audio-test,endTrial,45.296041874993534
2,calibration-short,startAttnGetter,46.46637333299441
2,calibration-short,endAttnGetter,49.761643124998955
2,calibration-short,startTrial,62.647083042000304
2,calibration-short,endTrial,80.38313808299426
3,train,startAttnGetter,81.00054270799592
3,train,endAttnGetter,84.13192924999748
3,train,startTrial,84.62511599999561
3,train,endTrial,127.0382134169995
4,fam,startAttnGetter,130.04321716699633
4,fam,endAttnGetter,133.3100098750001
4,fam,startTrial,135.74178729199775
4,fam,endTrial,168.05431483299617
5,train,startAttnGetter,169.86007612499816
5,train,endAttnGetter,172.93950091699662
5,train,startTrial,175.8297974169982
5,train,endTrial,223.38022674999957
6,fam,startAttnGetter,224.0143289169937
6,fam,endAttnGetter,227.11346858299657
6,fam,startTrial,227.8874488329966
6,fam,endTrial,258.23824341699947
7,train,startAttnGetter,264.9540498329952
7,train,endAttnGetter,268.09374691699486
7,train,startTrial,268.2268612080006
7,train,endTrial,314.6054664580006
8,fam,startAttnGetter,316.89397279200057
8,fam,endAttnGetter,319.9606624579974
8,fam,startTrial,320.0969944169992
8,fam,endTrial,334.44403708299797
9,train,startAttnGetter,335.677262833
9,train,endAttnGetter,338.74407504199917
9,train,startTrial,338.8710609579939
9,train,endTrial,356.13035858299554
10,fam,startAttnGetter,357.5441027499983
10,fam,endAttnGetter,360.6107149169984
10,fam,startTrial,360.7470585829942
10,fam,endTrial,374.363336041999
11,test,startAttnGetter,377.0680372499992
11,test,endAttnGetter,380.11066812499485
11,test,startTrial,380.2445766249948
11,test,endTrial,391.11283349999576
12,test,startAttnGetter,395.0177234579969
12,test,endAttnGetter,400.22747508299653
12,test,startTrial,400.4148978749945
12,test,endTrial,417.2639743330001
13,test,startAttnGetter,418.26082262499403
13,test,endAttnGetter,421.3477286249981
13,test,startTrial,421.53313449999405
13,test,endTrial,431.962963082995
14,test,startAttnGetter,433.14408870799525
14,test,endAttnGetter,436.2608698749973
14,test,startTrial,436.4124985419985
14,test,endTrial,455.2513919579942
15,calibration-long,startAttnGetter,456.0107992919948
15,calibration-long,endAttnGetter,459.04719149999437
15,calibration-long,startTrial,460.16114670800016
15,calibration-long,endTrial,479.1709130829986
