trialNum,trialType,event,time
1,audio-test,startAttnGetter,0.017444750003051013
1,audio-test,endAttnGetter,3.6789905829937197
1,audio-test,startTrial,5.931765957997413
1,audio-test,endTrial,21.243463749997318
2,calibration-short,startAttnGetter,38.34143224998843
2,calibration-short,endAttnGetter,41.54143741700682
2,calibration-short,startTrial,43.995906958007254
2,calibration-short,endTrial,63.01392329199007
3,train,startAttnGetter,64.44122820798657
3,train,endAttnGetter,67.56359283300117
3,train,startTrial,68.10136699999566
3,train,endTrial,128.12709770799847
4,fam,startAttnGetter,129.68192683300003
4,fam,endAttnGetter,132.88483620798797
4,fam,startTrial,133.93312204198446
4,fam,endTrial,193.96382720800466
5,train,startAttnGetter,196.4167227500002
5,train,endAttnGetter,200.29550999999628
5,train,startTrial,200.8697091669892
5,train,endTrial,249.00118658298743
6,fam,startAttnGetter,249.71333204198163
6,fam,endAttnGetter,252.79659187499783
6,fam,startTrial,253.2358113329974
6,fam,endTrial,288.24943283299217
7,train,startAttnGetter,289.18006079198676
7,train,endAttnGetter,292.2449554580089
7,train,startTrial,293.5428969170025
7,train,endTrial,315.7612933749915
8,fam,startAttnGetter,316.3425627499819
8,fam,endAttnGetter,319.4260687500064
8,fam,startTrial,319.89262595798937
8,fam,endTrial,336.7736254580086
9,train,startAttnGetter,337.59273750000284
9,train,endAttnGetter,340.6259699999937
9,train,startTrial,341.12992912498885
9,train,endTrial,360.24453283299226
10,fam,startAttnGetter,360.792789041996
10,fam,endAttnGetter,363.82605112498277
10,fam,startTrial,363.9588702500041
10,fam,endTrial,373.1352344999905
11,test,startAttnGetter,373.894804541982
11,test,endAttnGetter,376.9934385000088
11,test,startTrial,377.40279900000314
11,test,endTrial,396.2057973750052
12,test,startAttnGetter,396.7179935000022
12,test,endAttnGetter,399.78795595798874
12,test,startTrial,400.3709264170029
12,test,endTrial,421.082578542002
13,test,startAttnGetter,421.9860638329992
13,test,endAttnGetter,425.0265962499834
13,test,startTrial,425.1469920419913
13,test,endTrial,445.99523220799165
14,test,startAttnGetter,447.5764877499896
14,test,endAttnGetter,450.66818116698414
14,test,startTrial,452.06889804199454
14,test,endTrial,463.0985641669831
15,calibration-long,startAttnGetter,463.6376383329916
15,calibration-long,endAttnGetter,466.68017924999003
15,calibration-long,startTrial,467.3479529169854
15,calibration-long,endTrial,486.36180325000896
